Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C_Polarized","SuperCap_DSF106Q3R0C",12.375000,-28.000000,0.000000,top
"C2","10uF","C_0805_2012Metric",21.950000,-29.100000,-90.000000,top
"C3","10uF","C_0805_2012Metric",22.100000,-25.050000,90.000000,top
"C4","10uF","C_0805_2012Metric",20.375000,-4.750000,0.000000,top
"C5","10uF","C_0805_2012Metric",16.500000,-12.477950,-90.000000,top
"C6","1uF","C_0603_1608Metric",21.400000,-21.700000,180.000000,top
"C7","1uF","C_0603_1608Metric",21.075000,-14.950000,180.000000,top
"C8","100nF","C_0603_1608Metric",0.880000,-16.800000,0.000000,top
"C9","100nF","C_0603_1608Metric",7.600000,-0.125000,90.000000,top
"C10","100nF","C_0603_1608Metric",3.300000,-24.130000,-90.000000,top
"C11","100nF","C_0603_1608Metric",8.070000,-6.540000,90.000000,top
"C12","100nF","C_0603_1608Metric",3.750000,-31.800000,0.000000,top
"C14","100nF","C_0603_1608Metric",21.950000,-1.775000,-90.000000,top
"FB1","MDF2016BSS600CTD25","L_0805_2012Metric",20.975000,-13.050000,180.000000,top
"FID1","Fiducial","Fiducial_0.5mm_Mask1mm",0.000000,0.000000,-90.000000,top
"FID3","Fiducial","Fiducial_0.5mm_Mask1mm",22.000000,-35.000000,-90.000000,top
"H1","MountingHole","Keystone_8734",2.500000,-1.375000,180.000000,top
"H3","MountingHole","Keystone_8734",19.500000,-34.125000,0.000000,top
"IC2","SHTC3","SHTC3",4.000000,-29.825000,90.000000,top
"IC3","LD39200PUR","SON95P300X300X100-7N-D",19.100000,-27.900000,-90.000000,top
"IC6","TMUX1511RSVR","QFN40P180X260X55-16N",9.200000,-22.400000,0.000000,top
"J2","USB_C_Receptacle","USB_C_Receptacle_Molex_105450-0101",10.875000,-34.250000,0.000000,top
"L1","4u7","IND_LQH5BPN4R7NT0L",20.549999,-8.750000,90.000000,top
"LED1","LTRBR37G-4R4S-0125-0","LTRBR37G4R4S01250",1.100000,-19.200000,0.000000,top
"R1","100k","R_0603_1608Metric",19.350000,-24.900000,0.000000,top
"R2","20k4","R_0603_1608Metric",19.350000,-23.400000,0.000000,top
"R3","20k4","R_0603_1608Metric",19.650000,-18.950000,-90.000000,top
"R4","20k4","R_0603_1608Metric",21.075000,-16.700000,0.000000,top
"R5","270","R_0603_1608Metric",0.975000,-23.200000,180.000000,top
"R6","270","R_0603_1608Metric",0.975000,-21.600000,180.000000,top
"R7","750R","R_0603_1608Metric",0.975000,-24.800000,180.000000,top
"R8","3k9","R_0603_1608Metric",0.700000,-26.500000,0.000000,top
"R9","3k9","R_0603_1608Metric",3.825000,-26.500000,180.000000,top
"R10","3k9","R_0603_1608Metric",6.875000,-26.320000,0.000000,top
"R11","3k9","R_0603_1608Metric",10.125000,-12.000000,0.000000,top
"R12","3k9","R_0603_1608Metric",10.125000,-13.750000,0.000000,top
"R13","5k1","R_0603_1608Metric",9.200000,-18.600000,90.000000,top
"R14","5k1","R_0603_1608Metric",10.700000,-18.000000,90.000000,top
"R18","3k9","R_0603_1608Metric",18.000000,-18.000000,90.000000,top
"R19","100k","R_0603_1608Metric",18.000000,-21.000000,90.000000,top
"S1","XC8108AC20ER-G","SON50P200X180X60-7N",21.770000,-19.037500,-90.000000,top
"SW1","SW_Push","EVQP7J01P",15.500000,-3.650000,180.000000,top
"U1","ANNA-B402-00B","ANNA B402",3.151200,-11.251201,0.000000,top
"U2","BMI323","BMI323",11.000000,-7.500000,90.000000,top
"U3","BMP581","BMP581",0.976999,-29.250000,90.000000,top
"U4","MLX90393","MLX90393",11.000000,0.000000,-90.000000,top
"U5","LM358","SOT-23-8",5.462500,-20.025000,180.000000,top
"U6","XC9142B33CMR-G","XC9142B33CMR-G",15.949999,-8.277950,-90.000000,top
"U7","74LVC1G08","SOT-353_SC-70-5",5.450000,-23.700000,-90.000000,top
