"Reference","Value","Hersteller-Teilenummer","Verpackung","Menge"
"C1, C13","C_Polarized","DSF106Q3R0C","","2"
"C2-C5","10uF","GRM21BR61C106KE15L","R8","4"
"C6, C7","1uF","CC0603KRX7R7BB105","R8","2"
"C8, C10-C12","100nF","CC0603KRX7R7BB104","R8","4"
"FB1","MDF2016BSS600CTD25","MDF2016BSS600CTD25","R8","1"
"FID1-FID3","Fiducial","","","3"
"H1-H4","MountingHole","-- verschiedene Werte --","","4"
"IC1","MLX90392ELQ-AAA-011-RE","MLX90392ELQ-AAA-011-RE","","1"
"IC2","SHTC3","SHTC3","R8","1"
"IC3","LD39200PUR","LD39200PUR","R12","1"
"IC6","TMUX1511RSVR","TMUX1511RSVR","R12","1"
"J1","Conn_ARM_JTAG_SWD_10","","","1"
"J2","USB_C_Receptacle","105450-0101","R24","1"
"J3","Conn_01x08_Pin","BC070-08-A-1-L-C","","1"
"L1","4u7","81-LQH5BPN4R7NT0L0L","","1"
"LED1","LTRBR37G-4R4S-0125-0","LTRBR37G-4R4S-0125-0","R8","1"
"R1, R19","100k","RCG0603100KJNEA","R8","2"
"R2-R4","20k4","CR0603-FX-2052ELF","R8","3"
"R5, R6","270","AC0603JR-07270RL","","2"
"R7","750R","CR0603-JW-751ELF","","1"
"R8-R12, R18","3k9","CRCW06033K90JNEB","R8","6"
"R13, R14","5k1","CRCW06035K10JNEAC","","2"
"S1","XC8108AC20ER-G","XC8108AC20ER-G","R8","1"
"SW1","SW_Push","EVQ-P7A01P","","1"
"U1","ANNA-B402-00B","ANNA-B402-00B","R16","1"
"U2","BMI323","BMI323","R12","1"
"U3","BMP581","BMP581","R12","1"
"U5","LM358","LM2904BIDDFR","R8","1"
"U6","XC9142B33CMR-G","XC9142B33CMR-G","R8","1"
"U7","74LVC1G08","74LVC1G08QSE-7","R8","1"
"Z1","LOGO","","","1"
